Device_ID,Device_Type,Purchase_Date,Age,Manufacturer,Model,Country,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,Maintenance_Class,Maintenance_Report,Device_Age,Age_Category,Has_Failed,High_Maintenance
MD04973,Infusion Pump,2017-02-04,8,Ultramed,Model-550,Canada,4312.01152140355,1.3489122884749107,2,6,1,circuit failure caused operational delay; firmware update initiated. log cleaned temporary glitch,8,viejo,1,0
MD03055,X-Ray Machine,2018-08-29,7,Medequip,Model-450,Japan,14086.92342673666,8.03240349334829,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. critical failure urgent inspection needed,7,medio,1,1
MD04970,Ct Scanner,2016-02-28,9,Scanpro,Model-600,France,4293.662558742555,1.8740386580859127,2,4,1,Component recalibration after detecting overheating; functionality restored. software reset quick fix,9,viejo,1,0
MD00875,Infusion Pump,2023-06-09,2,Rescuetech,Model-150,France,5970.685199377886,8.060525817879967,3,9,1,System performance degraded due to abnormal sound; mitigation via system reset. log cleaned temporary glitch,2,nuevo,1,0
MD01103,Pet Scanner,2023-09-05,2,Cardiosync,Model-100,Japan,6096.178997657795,15.233687140505449,1,3,3,software crash caused operational delay; software patch initiated. sensor replaced hardware fault,2,nuevo,1,0
MD01087,Defibrillator,2017-12-28,8,Rescuetech,Model-450,Italy,7327.312595972605,8.875251912008707,4,1,1,Routine check completed; abnormal sound observed during diagnostics. minor issue low priority fault,8,viejo,1,1
MD02218,Pet Scanner,2017-06-06,8,Rescuetech,Model-450,France,4886.093492733723,8.408252346531127,3,1,1,System performance degraded due to software crash; mitigation via replacement. software reset log file cleared,8,viejo,1,0
MD02470,X-Ray Machine,2015-07-28,10,Cardiosync,Model-100,Usa,6812.954776135197,10.894606830444909,2,0,1,voltage spike caused operational delay; inspection initiated. minor issue stable condition,10,viejo,0,0
MD01526,Infusion Pump,2014-04-13,11,Imagingtech,Model-650,Uk,6215.336684253508,7.481187431088105,2,1,1,System performance degraded due to voltage spike; mitigation via system reset. quick fix log file cleared,11,viejo,1,0
MD02916,Defibrillator,2023-02-11,2,Scanpro,Model-400,France,1719.266760168215,4.213461189030655,2,1,1,Routine check completed; software crash observed during diagnostics. software reset system check passed,2,nuevo,1,0
MD03720,X-Ray Machine,2022-02-25,3,Ultramed,Model-500,Italy,7795.895133865077,4.000932924552339,2,1,1,Routine check completed; abnormal sound observed during diagnostics. log cleaned minor issue,3,nuevo,1,1
MD02925,Defibrillator,2023-04-13,2,Cardiosync,Model-450,Italy,2152.4747298135094,13.17327175111761,3,4,2,Routine check completed; sensor misalignment observed during diagnostics. component issue component review,2,nuevo,1,0
MD03388,Pet Scanner,2019-12-30,6,Imagingtech,Model-100,France,11373.18802575138,9.143138556346036,1,2,2,Routine check completed; battery wear observed during diagnostics. component issue non-critical warning,6,medio,1,1
MD05481,Pet Scanner,2016-10-02,9,Medequip,Model-250,Canada,6493.840606020618,7.3672642800643855,2,3,1,overheating caused operational delay; replacement initiated. quick fix stable condition,9,viejo,1,0
MD04893,X-Ray Machine,2021-08-25,4,Scanpro,Model-450,Canada,15145.508258868304,13.201244445175467,4,1,3,Routine check completed; sensor misalignment observed during diagnostics. reboot failed urgent inspection needed,4,medio,1,1
MD00760,Infusion Pump,2018-08-08,7,Medequip,Model-400,Uk,3338.00879471796,8.353079442508895,5,1,3,sensor misalignment caused operational delay; replacement initiated. sensor replaced sensor replacement,7,medio,1,0
MD02822,Mri Scanner,2019-10-14,6,Scanpro,Model-250,France,14131.244163325728,2.426710568162311,5,1,2,Component inspection after detecting circuit failure; functionality restored. reviewed logs non-critical warning,6,medio,1,1
MD01974,X-Ray Machine,2016-04-12,9,Imagingtech,Model-350,Uk,25219.236088495098,5.492357741116414,1,0,3,overheating caused operational delay; software patch initiated. sensor replaced critical failure,9,viejo,0,1
MD01251,X-Ray Machine,2015-05-26,10,Imagingtech,Model-550,Italy,2016.8437303121104,3.832560067998647,2,1,2,Routine check completed; circuit failure observed during diagnostics. driver update average severity report,10,viejo,1,0
MD01934,Mri Scanner,2017-08-07,8,Medequip,Model-400,Canada,16916.293249951577,26.365675186393787,3,2,3,Routine check completed; abnormal sound observed during diagnostics. critical failure system crash,8,viejo,1,1
MD03664,Ct Scanner,2023-04-17,2,Imagingtech,Model-250,Japan,13689.215066756333,7.551035977269444,2,0,3,System performance degraded due to software crash; mitigation via software patch. critical failure sensor replacement,2,nuevo,0,1
MD03879,Ct Scanner,2023-03-14,2,Ultramed,Model-550,Uk,4766.146903213029,3.570759858786596,3,1,2,battery wear caused operational delay; system reset initiated. component issue moderate delay,2,nuevo,1,0
MD00866,X-Ray Machine,2013-08-19,12,Cardiosync,Model-350,Canada,2822.271472575234,6.331224727298017,4,1,1,software crash caused operational delay; component upgrade initiated. software reset low priority fault,12,viejo,1,0
MD01491,Mri Scanner,2021-12-12,4,Rescuetech,Model-450,Italy,6178.945848745482,3.236047599025329,1,1,1,System performance degraded due to abnormal sound; mitigation via firmware update. minor issue log file cleared,4,medio,1,0
MD00480,Mri Scanner,2014-07-02,11,Cardiosync,Model-200,Usa,4250.403515707106,4.719825567572136,1,1,1,System performance degraded due to voltage spike; mitigation via firmware update. minor issue minor issue,11,viejo,1,0
MD03741,Infusion Pump,2018-12-15,7,Medequip,Model-600,Uk,2187.6605253452403,13.783585900922716,1,1,2,data lag caused operational delay; replacement initiated. component issue driver update applied,7,medio,1,0
MD04270,Infusion Pump,2015-06-25,10,Scanpro,Model-500,Uk,3879.661386363239,7.331873519540688,1,6,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay performance warning,10,viejo,1,0
MD05305,Infusion Pump,2021-03-29,4,Scanpro,Model-550,Japan,10161.541698458828,7.917273300862504,5,1,2,Component replacement after detecting battery wear; functionality restored. driver update performance warning,4,medio,1,1
MD04554,Defibrillator,2019-01-02,6,Ultramed,Model-600,Italy,2448.351450135515,26.686773299388207,5,3,3,battery wear caused operational delay; recalibration initiated. critical failure critical failure,6,medio,1,0
MD00430,Defibrillator,2016-03-23,9,Imagingtech,Model-250,Canada,4188.039355590178,2.144952801593365,1,3,1,battery wear caused operational delay; firmware update initiated. software reset log file cleared,9,viejo,1,0
MD01156,Infusion Pump,2023-04-21,2,Imagingtech,Model-150,France,4419.909659088393,8.830708095265503,4,2,1,Component replacement after detecting voltage spike; functionality restored. minor issue temporary glitch,2,nuevo,1,0
MD03378,X-Ray Machine,2015-04-06,10,Rescuetech,Model-300,Usa,14118.49393246357,11.567332575568832,3,2,3,sensor misalignment caused operational delay; recalibration initiated. critical failure system crash,10,viejo,1,1
MD05233,Infusion Pump,2020-01-27,5,Rescuetech,Model-500,Japan,4367.170321558245,5.489516321660774,2,5,1,System performance degraded due to data lag; mitigation via system reset. software reset low priority fault,5,medio,1,0
MD01496,Infusion Pump,2023-10-15,2,Ultramed,Model-450,Canada,33114.849724783846,23.905222435527588,2,2,3,System performance degraded due to voltage spike; mitigation via replacement. reboot failed critical malfunction,2,nuevo,1,1
MD03382,Ct Scanner,2019-07-15,6,Ultramed,Model-650,Canada,1358.021833089199,4.679732829547163,3,1,1,Component firmware update after detecting sensor misalignment; functionality restored. quick fix log file cleared,6,medio,1,0
MD02276,Mri Scanner,2018-12-23,7,Rescuetech,Model-150,Usa,2436.5681384018267,4.505806784564164,5,2,1,voltage spike caused operational delay; software patch initiated. log cleaned log file cleared,7,medio,1,0
MD04343,X-Ray Machine,2023-05-02,2,Imagingtech,Model-650,Italy,6492.708759312389,2.4535372571874654,1,2,1,System performance degraded due to circuit failure; mitigation via software patch. log cleaned stable condition,2,nuevo,1,0
MD00138,X-Ray Machine,2016-10-27,9,Imagingtech,Model-250,Uk,7558.269074891674,9.319317840888406,4,1,1,System performance degraded due to battery wear; mitigation via system reset. quick fix low priority fault,9,viejo,1,1
MD05344,Pet Scanner,2015-10-14,10,Rescuetech,Model-250,France,-3925.998613777928,14.81842451542197,5,4,2,Routine check completed; overheating observed during diagnostics. moderate delay average severity report,10,viejo,1,0
MD03351,Defibrillator,2019-05-08,6,Rescuetech,Model-550,Italy,19431.51292230199,13.33482874597817,1,1,3,System performance degraded due to circuit failure; mitigation via inspection. critical failure hardware fault,6,medio,1,1
MD05448,Ct Scanner,2014-03-18,11,Medequip,Model-500,France,4769.272971023088,4.444543189084446,1,1,1,sensor misalignment caused operational delay; component upgrade initiated. software reset system check passed,11,viejo,1,0
MD04171,Ct Scanner,2016-03-25,9,Rescuetech,Model-600,Italy,7409.761716860064,4.868275801444862,5,1,1,Routine check completed; circuit failure observed during diagnostics. minor issue stable condition,9,viejo,1,1
MD01107,X-Ray Machine,2017-03-16,8,Rescuetech,Model-100,Japan,3317.8227464097845,2.7382568909606344,1,1,1,Component software patch after detecting abnormal sound; functionality restored. software reset stable condition,8,viejo,1,0
MD03601,Ct Scanner,2016-02-19,9,Scanpro,Model-100,Uk,8353.801795701629,15.544314489840046,2,0,2,software crash caused operational delay; component upgrade initiated. reviewed logs performance warning,9,viejo,0,1
MD03042,Infusion Pump,2018-03-23,7,Imagingtech,Model-250,Uk,17861.013196617612,19.357383129493453,4,1,3,Component replacement after detecting abnormal sound; functionality restored. sensor replaced urgent inspection needed,7,medio,1,1
MD05197,Pet Scanner,2016-04-24,9,Ultramed,Model-200,Japan,5652.16312194349,12.489666858814031,2,1,2,software crash caused operational delay; recalibration initiated. moderate delay average severity report,9,viejo,1,0
MD04276,Infusion Pump,2020-03-26,5,Cardiosync,Model-400,Japan,1892.443132040808,2.891648163269434,1,3,1,System performance degraded due to software crash; mitigation via inspection. quick fix quick fix,5,medio,1,0
MD04582,Pet Scanner,2014-01-20,11,Imagingtech,Model-250,Uk,510.00212166954736,7.015308431713838,2,3,2,Routine check completed; overheating observed during diagnostics. reviewed logs non-critical warning,11,viejo,1,0
MD00183,Infusion Pump,2020-01-16,5,Scanpro,Model-400,Canada,23500.02990692996,13.90981385367736,5,2,3,Component component upgrade after detecting overheating; functionality restored. data loss critical failure,5,medio,1,1
MD01874,X-Ray Machine,2013-06-25,12,Medequip,Model-550,Uk,16090.559286024452,4.247012900943547,3,2,2,Component software patch after detecting overheating; functionality restored. reviewed logs component review,12,viejo,1,1
MD02291,Pet Scanner,2022-09-13,3,Cardiosync,Model-200,Italy,13461.301051583214,5.244816011342574,1,2,3,Routine check completed; battery wear observed during diagnostics. reboot failed sensor replacement,3,nuevo,1,1
MD01473,Defibrillator,2021-05-17,4,Medequip,Model-500,Uk,17732.039201073338,27.724552438348624,2,0,3,System performance degraded due to sensor misalignment; mitigation via system reset. data loss emergency shutdown,4,medio,0,1
MD04436,Pet Scanner,2015-10-04,10,Imagingtech,Model-300,Usa,20652.632777956256,9.714373158153888,5,3,3,Component replacement after detecting overheating; functionality restored. data loss system crash,10,viejo,1,1
MD02029,Mri Scanner,2016-05-08,9,Cardiosync,Model-150,France,19527.35367964784,4.370314837145179,3,3,3,abnormal sound caused operational delay; inspection initiated. reboot failed high priority failure,9,viejo,1,1
MD01834,Defibrillator,2016-12-10,9,Ultramed,Model-400,Usa,4245.247467883983,6.902138614232197,4,1,2,System performance degraded due to software crash; mitigation via recalibration. driver update driver update applied,9,viejo,1,0
MD01890,X-Ray Machine,2019-02-10,6,Scanpro,Model-200,Canada,7413.156979959484,12.23883290993226,5,4,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs non-critical warning,6,medio,1,1
MD00766,Mri Scanner,2019-10-14,6,Imagingtech,Model-150,Canada,2733.610608245419,12.500452858050728,3,2,2,Routine check completed; abnormal sound observed during diagnostics. driver update performance warning,6,medio,1,0
MD00060,Ct Scanner,2019-11-03,6,Cardiosync,Model-500,Italy,8832.886301916946,15.07082958069322,2,2,2,sensor misalignment caused operational delay; system reset initiated. reviewed logs moderate delay,6,medio,1,1
MD04497,Infusion Pump,2020-07-05,5,Ultramed,Model-150,Usa,5441.773806805362,7.31432707815111,4,5,1,System performance degraded due to sensor misalignment; mitigation via firmware update. log cleaned temporary glitch,5,medio,1,0
MD00218,Pet Scanner,2020-12-14,5,Rescuetech,Model-200,Uk,14486.440808659385,6.0952908137189965,4,2,2,Routine check completed; sensor misalignment observed during diagnostics. moderate delay device required inspection,5,medio,1,1
MD00605,X-Ray Machine,2014-08-09,11,Rescuetech,Model-200,Japan,18630.973613076287,9.437645967181853,2,1,3,Routine check completed; software crash observed during diagnostics. data loss critical failure,11,viejo,1,1
MD03054,Ct Scanner,2013-10-02,12,Ultramed,Model-200,Japan,5910.5701703758,4.624923921996813,5,3,2,System performance degraded due to voltage spike; mitigation via firmware update. component issue moderate delay,12,viejo,1,0
MD02772,Mri Scanner,2023-10-04,2,Imagingtech,Model-200,Usa,9924.393157406495,13.23619850899147,1,2,3,Routine check completed; abnormal sound observed during diagnostics. reboot failed emergency shutdown,2,nuevo,1,1
MD00245,Pet Scanner,2024-01-03,1,Imagingtech,Model-500,Canada,18553.648080811523,17.214934402027207,5,5,3,System performance degraded due to overheating; mitigation via inspection. data loss critical malfunction,1,nuevo,1,1
MD04295,Ct Scanner,2017-04-03,8,Cardiosync,Model-350,France,11441.436912445062,17.658762635698253,5,0,2,Routine check completed; abnormal sound observed during diagnostics. moderate delay moderate delay,8,viejo,0,1
MD01690,Defibrillator,2021-02-20,4,Ultramed,Model-400,Usa,3834.5152259607103,2.119638238187733,2,3,1,Routine check completed; voltage spike observed during diagnostics. minor issue system check passed,4,medio,1,0
MD01338,Mri Scanner,2022-06-22,3,Rescuetech,Model-250,Japan,2099.915183963173,3.1466298224970086,1,3,1,Routine check completed; software crash observed during diagnostics. quick fix quick fix,3,nuevo,1,0
MD01833,X-Ray Machine,2021-12-29,4,Cardiosync,Model-300,Italy,11706.28429749316,8.686603367872486,1,3,2,Component system reset after detecting abnormal sound; functionality restored. driver update average severity report,4,medio,1,1
MD00178,Infusion Pump,2022-09-20,3,Scanpro,Model-500,Uk,3530.977390148654,5.054603271379736,2,1,1,circuit failure caused operational delay; firmware update initiated. software reset log file cleared,3,nuevo,1,0
MD04233,X-Ray Machine,2022-12-22,3,Cardiosync,Model-200,Usa,9655.831262184523,4.111797169002137,3,2,2,circuit failure caused operational delay; inspection initiated. driver update moderate delay,3,nuevo,1,1
MD00287,Pet Scanner,2022-08-27,3,Medequip,Model-150,Canada,13014.2437740747,18.46320042617841,3,1,2,System performance degraded due to sensor misalignment; mitigation via software patch. component issue device required inspection,3,nuevo,1,1
MD03920,Defibrillator,2023-03-13,2,Medequip,Model-150,Japan,4975.743137172629,5.2644574592470175,5,4,1,System performance degraded due to data lag; mitigation via recalibration. log cleaned minor issue,2,nuevo,1,0
MD01400,Infusion Pump,2019-10-10,6,Imagingtech,Model-200,Canada,9745.862333542971,5.823517041383341,4,5,1,sensor misalignment caused operational delay; inspection initiated. log cleaned stable condition,6,medio,1,1
MD04874,Infusion Pump,2023-09-05,2,Medequip,Model-550,France,3400.271787018808,11.678250263374434,3,1,1,Routine check completed; circuit failure observed during diagnostics. quick fix routine reset,2,nuevo,1,0
MD00989,X-Ray Machine,2017-10-30,8,Rescuetech,Model-300,Japan,7029.199836866744,6.475137847395411,5,2,1,Routine check completed; voltage spike observed during diagnostics. log cleaned minor issue,8,viejo,1,0
MD00234,Defibrillator,2015-09-30,10,Imagingtech,Model-200,Canada,4231.06330684427,4.669164075394578,2,2,1,Component software patch after detecting software crash; functionality restored. minor issue log file cleared,10,viejo,1,0
MD04692,Pet Scanner,2015-01-04,10,Medequip,Model-550,France,6516.829342961068,4.435253785643978,1,0,1,data lag caused operational delay; system reset initiated. minor issue system check passed,10,viejo,0,0
MD00009,Mri Scanner,2017-07-27,8,Rescuetech,Model-500,Italy,8474.905711390164,14.769456646545242,3,4,2,Component recalibration after detecting voltage spike; functionality restored. driver update performance warning,8,viejo,1,1
MD01952,Mri Scanner,2023-09-27,2,Medequip,Model-500,Italy,4275.745641351639,7.387593927441959,1,4,1,System performance degraded due to sensor misalignment; mitigation via inspection. minor issue stable condition,2,nuevo,1,0
MD01284,Infusion Pump,2017-06-12,8,Ultramed,Model-100,France,15205.128498654318,4.584952279156318,2,3,2,Component component upgrade after detecting data lag; functionality restored. driver update driver update applied,8,viejo,1,1
MD00450,Infusion Pump,2017-10-24,8,Medequip,Model-500,Italy,10288.791512084112,12.097617293020004,4,1,2,Routine check completed; abnormal sound observed during diagnostics. component issue non-critical warning,8,viejo,1,1
MD00212,Infusion Pump,2016-06-28,9,Imagingtech,Model-500,Uk,6249.239709045754,5.646882008942401,5,3,1,Component firmware update after detecting battery wear; functionality restored. minor issue temporary glitch,9,viejo,1,0
MD02377,Infusion Pump,2023-12-25,2,Imagingtech,Model-300,Uk,4098.605690034778,10.991715692900325,1,0,2,Routine check completed; voltage spike observed during diagnostics. component issue non-critical warning,2,nuevo,0,0
MD01684,Mri Scanner,2021-02-13,4,Ultramed,Model-350,Uk,4913.91106045171,6.908476771462912,2,2,3,abnormal sound caused operational delay; component upgrade initiated. reboot failed urgent inspection needed,4,medio,1,0
MD02500,Mri Scanner,2015-11-07,10,Ultramed,Model-100,Canada,12393.124903625909,18.95456728975689,5,0,3,Component system reset after detecting software crash; functionality restored. sensor replaced critical malfunction,10,viejo,0,1
MD01565,Ct Scanner,2015-05-26,10,Scanpro,Model-250,Italy,6751.954261724497,5.528615811708443,4,0,1,Component inspection after detecting battery wear; functionality restored. quick fix system check passed,10,viejo,0,0
MD00214,Mri Scanner,2022-06-12,3,Imagingtech,Model-550,Canada,11559.92419990774,13.35587294235042,2,3,2,Component replacement after detecting circuit failure; functionality restored. driver update device required inspection,3,nuevo,1,1
MD03098,Defibrillator,2015-04-20,10,Rescuetech,Model-600,Italy,14316.765439047587,19.030904422626605,1,3,3,Component firmware update after detecting data lag; functionality restored. critical failure critical failure,10,viejo,1,1
MD03485,Pet Scanner,2014-10-02,11,Imagingtech,Model-100,Usa,7010.051719549312,8.160569221013757,1,1,2,System performance degraded due to data lag; mitigation via inspection. component issue moderate delay,11,viejo,1,0
MD05346,Infusion Pump,2017-01-05,8,Ultramed,Model-650,Canada,3511.8436836145897,2.7057317077424674,1,1,2,Component replacement after detecting circuit failure; functionality restored. moderate delay non-critical warning,8,viejo,1,0
MD00106,Infusion Pump,2017-04-05,8,Cardiosync,Model-200,France,4340.952242791129,5.264835076525357,1,1,1,Component firmware update after detecting battery wear; functionality restored. software reset minor issue,8,viejo,1,0
MD00651,Mri Scanner,2017-06-26,8,Cardiosync,Model-600,Japan,2994.069640722346,2.852084980839906,5,1,1,Component software patch after detecting battery wear; functionality restored. software reset quick fix,8,viejo,1,0
MD02684,Pet Scanner,2016-02-02,9,Cardiosync,Model-250,Uk,16712.04742664526,23.25761335803812,3,0,3,Routine check completed; data lag observed during diagnostics. sensor replaced urgent inspection needed,9,viejo,0,1
MD02193,Infusion Pump,2022-09-13,3,Medequip,Model-350,Uk,11596.887820679023,6.279325089369686,1,1,2,Component component upgrade after detecting software crash; functionality restored. moderate delay average severity report,3,nuevo,1,1
MD05383,X-Ray Machine,2022-09-21,3,Imagingtech,Model-450,Japan,1580.3376676156222,16.414614985538982,5,1,2,System performance degraded due to circuit failure; mitigation via component upgrade. reviewed logs device required inspection,3,nuevo,1,0
MD05499,Infusion Pump,2013-11-29,12,Scanpro,Model-650,Italy,3415.3613101047627,1.9234376695329456,5,4,1,System performance degraded due to software crash; mitigation via inspection. quick fix routine reset,12,viejo,1,0
MD03928,Infusion Pump,2018-06-11,7,Rescuetech,Model-100,Canada,11659.20673220599,20.72507994362292,2,3,3,battery wear caused operational delay; recalibration initiated. data loss emergency shutdown,7,medio,1,1
MD01342,Infusion Pump,2022-10-04,3,Imagingtech,Model-350,Japan,-243.76297292368864,16.06649097497886,5,4,2,circuit failure caused operational delay; firmware update initiated. driver update performance warning,3,nuevo,1,0
MD00109,Infusion Pump,2019-02-23,6,Scanpro,Model-500,Uk,8094.546477097295,6.552115541541653,1,2,2,abnormal sound caused operational delay; software patch initiated. driver update non-critical warning,6,medio,1,1
MD02055,Infusion Pump,2018-09-25,7,Cardiosync,Model-100,Usa,19552.536914497337,11.234587304692488,5,0,3,Component system reset after detecting circuit failure; functionality restored. data loss urgent inspection needed,7,medio,0,1
MD00260,Pet Scanner,2020-09-08,5,Rescuetech,Model-550,Canada,9807.609462362172,7.223015938170488,4,2,2,Routine check completed; software crash observed during diagnostics. component issue component review,5,medio,1,1
MD03467,Mri Scanner,2016-06-11,9,Rescuetech,Model-450,Uk,6393.709889870459,19.07538409898477,5,2,3,Routine check completed; data lag observed during diagnostics. critical failure hardware fault,9,viejo,1,0
MD02710,X-Ray Machine,2018-10-12,7,Imagingtech,Model-200,Canada,1571.5760640038052,2.5651799012878875,5,4,1,Component recalibration after detecting sensor misalignment; functionality restored. minor issue temporary glitch,7,medio,1,0
MD02236,Ct Scanner,2021-07-28,4,Scanpro,Model-650,Canada,5046.05352990958,10.548120891409882,4,5,1,data lag caused operational delay; component upgrade initiated. log cleaned low priority fault,4,medio,1,0
MD02433,X-Ray Machine,2014-08-27,11,Rescuetech,Model-450,Canada,10159.538455633296,21.72338367260954,3,1,3,voltage spike caused operational delay; replacement initiated. critical failure sensor replacement,11,viejo,1,1
MD02458,Defibrillator,2013-10-30,12,Cardiosync,Model-100,Usa,22230.90963170836,13.903157218404775,4,4,3,System performance degraded due to sensor misalignment; mitigation via inspection. data loss emergency shutdown,12,viejo,1,1
MD02048,Infusion Pump,2013-08-18,12,Cardiosync,Model-600,Italy,7460.598850150111,5.495317101918271,4,2,1,System performance degraded due to battery wear; mitigation via software patch. software reset log file cleared,12,viejo,1,1
MD04983,Infusion Pump,2017-02-04,8,Scanpro,Model-400,France,1652.6929982519432,2.293236870835832,5,0,1,data lag caused operational delay; replacement initiated. software reset quick fix,8,viejo,0,0
MD03100,Pet Scanner,2020-09-02,5,Medequip,Model-150,Usa,9144.418589782515,15.349647514515652,5,0,2,System performance degraded due to voltage spike; mitigation via recalibration. component issue driver update applied,5,medio,0,1
MD01800,Pet Scanner,2018-10-07,7,Cardiosync,Model-600,Japan,17354.821775367993,3.5495828768042585,2,6,3,Component software patch after detecting software crash; functionality restored. critical failure high priority failure,7,medio,1,1
MD01836,Defibrillator,2013-06-04,12,Rescuetech,Model-650,Canada,6945.809699228764,9.314825797529418,4,2,1,System performance degraded due to sensor misalignment; mitigation via system reset. log cleaned minor issue,12,viejo,1,0
MD01260,X-Ray Machine,2014-08-04,11,Ultramed,Model-250,France,3128.6371981606044,15.58501856459227,5,2,2,Routine check completed; overheating observed during diagnostics. reviewed logs moderate delay,11,viejo,1,0
MD02488,Ct Scanner,2021-05-05,4,Medequip,Model-250,France,5350.112337348543,3.5713069965567183,4,2,2,Routine check completed; voltage spike observed during diagnostics. reviewed logs non-critical warning,4,medio,1,0
MD03540,Mri Scanner,2021-02-10,4,Imagingtech,Model-150,Usa,3082.580531405835,4.720296809711623,2,3,1,System performance degraded due to battery wear; mitigation via software patch. quick fix low priority fault,4,medio,1,0
MD03429,Pet Scanner,2021-01-12,4,Imagingtech,Model-200,France,4445.976677822229,4.782550743289771,4,3,1,software crash caused operational delay; replacement initiated. minor issue quick fix,4,medio,1,0
MD01611,Pet Scanner,2023-09-13,2,Medequip,Model-150,Uk,10565.808211099746,27.04509600454824,1,0,3,System performance degraded due to voltage spike; mitigation via firmware update. sensor replaced emergency shutdown,2,nuevo,0,1
MD04802,Defibrillator,2014-02-28,11,Imagingtech,Model-400,Canada,3230.2145381564887,3.992688530646475,1,1,1,Routine check completed; sensor misalignment observed during diagnostics. software reset log file cleared,11,viejo,1,0
MD01682,X-Ray Machine,2021-09-18,4,Imagingtech,Model-650,Uk,13083.87384058913,7.086621155456196,3,1,2,Component inspection after detecting sensor misalignment; functionality restored. reviewed logs performance warning,4,medio,1,1
MD03410,Defibrillator,2024-01-03,1,Rescuetech,Model-350,Japan,5884.844797672917,2.715759668368817,5,3,1,Component firmware update after detecting voltage spike; functionality restored. minor issue minor issue,1,nuevo,1,0
MD02759,Mri Scanner,2014-02-23,11,Medequip,Model-650,Usa,15948.514921674869,3.320573781250654,3,0,2,Component component upgrade after detecting overheating; functionality restored. component issue driver update applied,11,viejo,0,1
MD04596,Defibrillator,2014-03-31,11,Cardiosync,Model-450,Uk,759.5423287861223,9.186720141132112,2,5,1,data lag caused operational delay; replacement initiated. log cleaned minor issue,11,viejo,1,0
